"Marca temporal","¿Qué tipo de contenidos te gustaría que haya en la web de Espacio Paz?  ","¿Qué temas te gustaría que Paz profundice?","  
¿Cómo preferís participar de los contenidos?  ","¿Qué formato te resulta más cómodo o te gustaría consumir?  ","Si hubiera una comunidad o grupo para acompañar los procesos, ¿qué te gustaría que tenga?
(Ej. meditaciones semanales, lives, materiales exclusivos, acompañamiento grupal...)","¿Qué te gustaría que Paz implemente en esta nueva etapa?
(Ej. un curso específico, rituales nuevos, más meditaciones, mentorías, retiros, etc.)","¿Si pudieras elegir, ¿qué experiencias te gustaría que se mantengan o se amplíen?  ","¿Cuánto tiempo solés dedicar a tu bienestar personal o espiritual por semana?  ","¿Qué valor mensual te parecería accesible para una membresía con meditaciones, cursos cortos y rituales exclusivos?  ","¿Querés que te avisemos cuando lancemos la nueva web y los nuevos programas?  ","¿Querés dejarnos alguna sugerencia o idea para Espacio Paz?  "
"2025/10/20 2:16:19 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;Rito del utero, energia kundalini, reiki con arcangeles","💫 En vivo (talleres o encuentros por Zoom)","🎥 Video;🌙 Ejercicios o desafíos semanales;💫 Ritual guiado paso a paso","En realidad nada que agregar, porque siempre sos de acompañar los procesos el día a día brindando información  y enseñándonos.","Circulo de mujeres","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales;🌸 Talleres online;✨ Mentorías personalizadas","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 2:31:40 p. m. GMT-3","💫 Rituales guiados paso a paso","🌸 Clan familiar y transgeneracional;✨ Biodescodificación emocional;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🌙 Ejercicios o desafíos semanales","Meditaciones ","Rituales ","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales;✨ Mentorías personalizadas","🌸 Menos de 1 hora","🌕 Entre 20 y 30 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","Muchos éxitos para éste nuevo espacio "
"2025/10/20 2:48:40 p. m. GMT-3","💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌕 Abundancia y merecimiento","🌙 A mi ritmo (videos o materiales grabados)","🎥 Video;🎧 Audio (meditaciones o clases);💫 Ritual guiado paso a paso","Meditaciones semanales ","Más meditaciones 🤗","🌸 Talleres online","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 2:49:31 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases);📖 PDF / Cuaderno de trabajo;🌙 Ejercicios o desafíos semanales","Lives y acompañamiento grupal","Mentirías y retiros","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales;✨ Mentorías personalizadas;🌕 Espacio de membresía mensual","🌙 1 a 3 horas","🌕 Entre 20 y 30 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 2:50:39 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas","✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎧 Audio (meditaciones o clases)","Meditaciones...","Un curso especifico ","💫 Retiros o encuentros grupales;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","🌸 Menos de 1 hora","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","No cambies Paz querida..."
"2025/10/20 2:52:05 p. m. GMT-3","✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","💜 Amor propio y relaciones conscientes;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎧 Audio (meditaciones o clases);📖 PDF / Cuaderno de trabajo;🌙 Ejercicios o desafíos semanales","Meditaciones, reflexiones, material informativo ","Coaching","🌙 Baños de gong presenciales;🌸 Talleres online;✨ Mentorías personalizadas","🌙 1 a 3 horas","🌸 Entre 10 y 20 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","Éxito en lo que inicias!! 2026 es año 1!!!"
"2025/10/20 2:55:42 p. m. GMT-3","✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","💫Sanación del niño interior;💜 Amor propio y relaciones conscientes;🌙 Propósito de vida y espiritualidad;🌕 Abundancia y merecimiento","💫 En vivo (talleres o encuentros por Zoom)","🎥 Video;📖 PDF / Cuaderno de trabajo","Materiales exclusivos, lives","Etapa pos especialización de maestría para quienes elijen acompañar a otros tener un apoyo en esta nueva etapa ","✨ Mentorías personalizadas","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 3:18:45 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases);📖 PDF / Cuaderno de trabajo;🌙 Ejercicios o desafíos semanales;💫 Ritual guiado paso a paso","Acompañamiento grupal, meditaciones y mucho amor","Me encanta todo, confío en que lo que desida va a ser perfecto","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales;✨ Mentorías personalizadas;🌕 Espacio de membresía mensual;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","💫 Más de 6 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","Siento que lo que surja de aquí va a ser hermoso"
"2025/10/20 3:32:39 p. m. GMT-3","✨ Meditaciones grabadas","✨ Biodescodificación emocional","🌙 A mi ritmo (videos o materiales grabados)","🌙 Ejercicios o desafíos semanales","Acompañamiento grupal","Mentoria","🌕 Espacio de membresía mensual","🌙 1 a 3 horas","🌕 Entre 20 y 30 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 3:51:00 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","🌸 Clan familiar y transgeneracional;🌙 Propósito de vida y espiritualidad;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases);📖 PDF / Cuaderno de trabajo;🌙 Ejercicios o desafíos semanales","Creo que el acompañamiento del grupo está bueno pero hay que ver en qué instancias está cada uno. Me gusta la meditación y sobre todo la aplicación de lo teórico.","Más aprendizaje por talleres cortos","💫 Retiros o encuentros grupales;🌸 Talleres online","🌙 1 a 3 horas","🌕 Entre 20 y 30 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 3:55:04 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;Vivos tuyos Paz","💫Sanación del niño interior;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎧 Audio (meditaciones o clases);💫 Ritual guiado paso a paso","Lives, ","Cursos con temas especificos","🌙 Baños de gong presenciales","🌙 1 a 3 horas","🌸 Entre 10 y 20 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 4:12:38 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎧 Audio (meditaciones o clases);🌙 Ejercicios o desafíos semanales","Meditaciones semanales, acompañamiento grupal","Más meditaciones, retiros","💫 Retiros o encuentros grupales;🌸 Talleres online;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 4:45:33 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;💫 Ritualística y energía femenina;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🌙 Ejercicios o desafíos semanales;💫 Ritual guiado paso a paso","Rituales, meditaciones ","Más meditaciones, retiros ","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales;🌕 Espacio de membresía mensual","🌸 Menos de 1 hora","🌸 Entre 10 y 20 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 5:01:05 p. m. GMT-3","💫 Rituales guiados paso a paso;✨ Meditaciones grabadas","🌸 Clan familiar y transgeneracional","🌙 A mi ritmo (videos o materiales grabados)","🎥 Video;🎧 Audio (meditaciones o clases);💫 Ritual guiado paso a paso","Salidas o retiros","Quizas algún retiro","💫 Retiros o encuentros grupales","✨ 3 a 6 horas","✨ Más de 30 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 5:04:04 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases);📖 PDF / Cuaderno de trabajo;🌙 Ejercicios o desafíos semanales","Meditaciones semanales y lives me parecen trascendentales. Los materiales también son buena idea","Rituales y retiros me encantarían. ","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales;🌸 Talleres online","🌙 1 a 3 horas","🌸 Entre 10 y 20 USD","mhbflh12@gmail.com","Me encanta la idea a de tener una especie de mentoría en la que nos puedas ir guiando y a su vez saber si vamos bien. 
Los retiros son geniales y los baños de gong lo mejor!! Me encantaría tener la posibilidad de acceder todos los meses a un baño de gong.  Acceder a un ritual. 
Estaría genial. La idea es muy buena.
Muchos éxitos!! Y por favor avisen.
Abrazo al alma!!"
"2025/10/20 5:41:31 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;💫 Ritualística y energía femenina;🌕 Abundancia y merecimiento","🌙 A mi ritmo (videos o materiales grabados)","🎧 Audio (meditaciones o clases);🌙 Ejercicios o desafíos semanales;💫 Ritual guiado paso a paso","Meditaciones semanales","Mas meditaciones, recomendación de lectura, rituales nuevos, podcast sobre temas específicos de autosanación","🌙 Baños de gong presenciales;✨ Mentorías personalizadas;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 5:51:50 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases)","Lives ","Mentorias ","🌙 Baños de gong presenciales;🌸 Talleres online;✨ Mentorías personalizadas;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","🌸 Menos de 1 hora","🌕 Entre 20 y 30 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","Me gustaria Círculos mixtos como el de mujeres pero donde se busque la integración."
"2025/10/20 6:13:47 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;💫 Ritualística y energía femenina;🌕 Abundancia y merecimiento","🌙 A mi ritmo (videos o materiales grabados)","📖 PDF / Cuaderno de trabajo;🌙 Ejercicios o desafíos semanales","Acompañamiento","Maestría de reiki completamente online ","✨ Mentorías personalizadas","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","Sos luz en nuestros caminos, y me enseñaste a iluminar a otros y al hacerlo, mi luz crece y veo mejor mis sombras y las trabajo. Gracias! Infinito "
"2025/10/20 7:07:40 p. m. GMT-3","💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","🌸 Clan familiar y transgeneracional;🌙 Propósito de vida y espiritualidad","🌙 A mi ritmo (videos o materiales grabados)","🎥 Video;🎧 Audio (meditaciones o clases);📖 PDF / Cuaderno de trabajo;💫 Ritual guiado paso a paso","Acompañamiento ","Rituales ","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales","🌙 1 a 3 horas","💜 Menos de 10 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 8:07:45 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;🌕 Talleres en vivo por Zoom","💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌕 Abundancia y merecimiento","💫 En vivo (talleres o encuentros por Zoom)","🎥 Video;💫 Ritual guiado paso a paso","Ejercicios semanales.","Más cursos, mentorías.","🌸 Talleres online;✨ Mentorías personalizadas","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","En lo que sea que emprendas te irá súper! Lo decretamos!! 🤍"
"2025/10/20 8:39:22 p. m. GMT-3","✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;💫 Ritualística y energía femenina;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases);📖 PDF / Cuaderno de trabajo;🌙 Ejercicios o desafíos semanales;💫 Ritual guiado paso a paso","Materiales y meditaciones semanales","Retiros","🌸 Talleres online;✨ Mentorías personalizadas;🌕 Espacio de membresía mensual;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 8:49:44 p. m. GMT-3","🎥 Clases grabadas con acceso ilimitado","💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases)","Acompañamiento grupal ","Retiros ","🌙 Baños de gong presenciales;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","🌙 1 a 3 horas","🌸 Entre 10 y 20 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)","Genia Paz !!"
"2025/10/20 9:55:42 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","💫Sanación del niño interior;💜 Amor propio y relaciones conscientes;🌙 Propósito de vida y espiritualidad;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases)","Lives","Retiros","💫 Retiros o encuentros grupales;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 10:45:08 p. m. GMT-3","💫 Rituales guiados paso a paso;✨ Meditaciones grabadas","🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases)","Momentos de intercambio ","Rituales nuevos ","🌙 Baños de gong presenciales","💫 Más de 6 horas","🌕 Entre 20 y 30 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/20 10:50:05 p. m. GMT-3","💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;💫 Ritualística y energía femenina;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases);📖 PDF / Cuaderno de trabajo;🌙 Ejercicios o desafíos semanales;💫 Ritual guiado paso a paso","Lives me gusta mucho,materiales exclusivos,acompañamiento grupal y las meditaciones maravillosas ","Me gusta todo lo que propones","🌸 Talleres online;✨ Mentorías personalizadas;🌕 Espacio de membresía mensual","🌙 1 a 3 horas","✨ Más de 30 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/21 12:34:23 a. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","💜 Amor propio y relaciones conscientes","🌙 A mi ritmo (videos o materiales grabados)","🎥 Video;🎧 Audio (meditaciones o clases)","Lo que dice allí me parece fantástico Pero sobre todo que sirva para abrir conciencia","Charlas de distintos temas que pueda la comunidad. ","✨ Mentorías personalizadas","🌙 1 a 3 horas","🌸 Entre 10 y 20 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/21 7:50:46 a. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;🎥 Clases grabadas con acceso ilimitado","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;🌙 Propósito de vida y espiritualidad;🌕 Abundancia y merecimiento","🌙 A mi ritmo (videos o materiales grabados)","🎥 Video;🎧 Audio (meditaciones o clases)","Acompañamiento grupal, meditaciones guiadas,etc.","Meditaciones guiadas.","🌙 Baños de gong presenciales;✨ Mentorías personalizadas","🌙 1 a 3 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/21 10:43:47 a. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo);🎥 Clases grabadas con acceso ilimitado","🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;💫 Ritualística y energía femenina;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎥 Video;🎧 Audio (meditaciones o clases);📖 PDF / Cuaderno de trabajo;💫 Ritual guiado paso a paso","Meditaciones y acompañamiento grupal ","Cursos específicos, retiros","💫 Retiros o encuentros grupales;🌸 Talleres online","✨ 3 a 6 horas","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/21 1:15:49 p. m. GMT-3","💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;🌕 Abundancia y merecimiento","🌙 A mi ritmo (videos o materiales grabados)","🎥 Video;🎧 Audio (meditaciones o clases);📖 PDF / Cuaderno de trabajo;🌙 Ejercicios o desafíos semanales;💫 Ritual guiado paso a paso","Meditaciones semanales ","Retiros ","💫 Retiros o encuentros grupales;💜 Tienda con productos energéticos (velas, sahumerios, cristales, etc.)","✨ 3 a 6 horas","🌕 Entre 20 y 30 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/21 6:18:09 p. m. GMT-3","🌙 Cursos online (Biodescodificación, Reiki, Desarrollo personal, etc.);🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;🌕 Abundancia y merecimiento","💫 En vivo (talleres o encuentros por Zoom)","🎧 Audio (meditaciones o clases);📖 PDF / Cuaderno de trabajo;🌙 Ejercicios o desafíos semanales","Si todo eso","Curso especifico","💫 Retiros o encuentros grupales;🌸 Talleres online","🌸 Menos de 1 hora","🌙 Prefiero pagar por cada curso o ritual","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/22 12:10:36 p. m. GMT-3","💫 Rituales guiados paso a paso;✨ Meditaciones grabadas","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;🌕 Abundancia y merecimiento","💫 En vivo (talleres o encuentros por Zoom)","🎧 Audio (meditaciones o clases);💫 Ritual guiado paso a paso","Meditaciones semanales","Rituales y retiros estaría bueno","🌙 Baños de gong presenciales;💫 Retiros o encuentros grupales;🌕 Espacio de membresía mensual","✨ 3 a 6 horas","🌕 Entre 20 y 30 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
"2025/10/22 5:56:49 p. m. GMT-3","💫 Rituales guiados paso a paso;✨ Meditaciones grabadas;🌕 Talleres en vivo por Zoom;📖 Materiales descargables (PDF, guías, cuadernos de trabajo)","💫Sanación del niño interior;🌸 Clan familiar y transgeneracional;💜 Amor propio y relaciones conscientes;✨ Biodescodificación emocional;🌙 Propósito de vida y espiritualidad;💫 Ritualística y energía femenina;🌕 Abundancia y merecimiento","✨ Mixto (grabado + vivo + comunidad de apoyo)","🎧 Audio (meditaciones o clases);🌙 Ejercicios o desafíos semanales;💫 Ritual guiado paso a paso","Rituales y meditaciones ","Rituales nuevos ","✨ Mentorías personalizadas;🌕 Espacio de membresía mensual","🌙 1 a 3 horas","🌸 Entre 10 y 20 USD","💫 Sí, quiero recibir la información (dejar mi mail o WhatsApp)",""
